"","SITE","predicted_DATE","observed_DATE","predicted_DOY","observed_DOY","diff"
"1","AL24",2024-04-18,2024-04-15,109,106,3
"2","BE24",2024-04-18,2024-04-13,109,104,5
"3","CL22",2022-04-24,2022-04-24,114,114,0
"4","KS22",2022-04-16,2022-04-17,106,107,-1
"5","KS23",2023-04-14,2023-04-10,104,100,4
"6","KS24",2024-04-16,2024-04-13,107,104,3
"7","LB23",2023-04-10,2023-04-18,100,108,-8
"8","LB24",2024-04-14,2024-04-18,105,109,-4
"9","MR22",2022-04-21,2022-04-22,111,112,-1
"10","OX23",2023-04-21,2023-04-22,111,112,-1
"11","PY22",2022-04-22,2022-04-20,112,110,2
"12","PY23",2023-04-17,2023-04-22,107,112,-5
"13","RO24",2024-04-25,2024-04-27,116,118,-2
"14","RW22",2022-04-13,2022-04-13,103,103,0
"15","SB22",2022-04-25,2022-04-23,115,113,2
"16","SB23",2023-04-21,2023-04-14,111,104,7
"17","SB24",2024-04-24,2024-04-15,115,106,9
"18","UN23",2023-04-15,2023-04-20,105,110,-5
