year,site,lat,lon,region
2022,PY22,35.8492,-76.6555,Middle Atlantic Coastal Plain
2023,PY23,35.8499,-76.6592,Middle Atlantic Coastal Plain
2024,BE24,35.5591,-76.5685,Middle Atlantic Coastal Plain
2022,SB22,35.6965,-80.6237,Piedmont
2022,MR22,34.9493,-80.4245,Piedmont
2022,CL22,35.6712,-78.5114,Piedmont
2023,SB23,35.6996,-80.6208,Piedmont
2023,UN23,35.0894,-80.4685,Piedmont
2023,OX23,36.3559,-78.5489,Piedmont
2024,SB24,35.6979,-80.6244,Piedmont
2024,AL24,34.8598,-80.513,Piedmont
2024,RO24,36.3229,-78.8776,Piedmont
2023,KS23,35.3758,-77.5608,Southeastern Plains
2022,RW22,34.5112,-79.3061,Southeastern Plains
2022,KS22,35.3781,-77.5598,Southeastern Plains
2023,LB23,34.7133,-78.9672,Southeastern Plains
2024,LB24,34.7546,-79.0344,Southeastern Plains
2024,KS24,35.3777,-77.5572,Southeastern Plains
