"variable","estimate","est.error","l-95% ci","u-95% ci","rhat","bulk_ess","tail_ess","abs_estimate","doy_start","doy_end","doy_window","doy_bins","var_type","time_of_day","direction","variable_short"
"fa1.77_71.RH.G90.dusk.sum_14",0.134635441821983,0.18722819377968,-0.136948032621533,0.585968098765257,1.00002634973286,20174.1883896798,23050.018387807,0.134635441821983,77,71,6,"70-79","RH","Dusk","Positive","fa1.77_71.RH.G90"
"fa1.20_7.TRH.13T16nRH.G85.daytime.sum_14",0.112306364715309,0.182297863274221,-0.165058241386514,0.560585839027459,1.00028294392418,22595.6012457078,24658.1709401585,0.112306364715309,20,7,13,"20-29","TRH","Daytime","Positive","fa1.20_7.TRH.13T16nRH"
"fa1.20_6.TR.19T22nR.G.0.2.daytime.sum_28",-0.111650325340661,0.17899300284497,-0.541376436047886,0.162708332099724,1.00004505533323,24450.1311918498,26086.8208356241,0.111650325340661,20,6,14,"20-29","TR","Daytime","Negative","fa1.20_6.TR.19T22nR"
"fa1.16_9.TR.19T22nR.G.0.2.daytime.sum_21",-0.0843228259922703,0.162069020769005,-0.478881788198015,0.176576946909089,1.00006179319888,26847.5388110226,26352.6912638762,0.0843228259922703,16,9,7,"10-19","TR","Daytime","Negative","fa1.16_9.TR.19T22nR"
"fa1.6_0.TRH.13T16nRH.G85.24h.sum_28",0.081071810082029,0.166501305176344,-0.190396764266147,0.49906700657098,0.999979621610439,28375.7630241311,25778.7890432628,0.081071810082029,6,0,6,"0-9","TRH","24-hour","Positive","fa1.6_0.TRH.13T16nRH"
"fa1.66_58.R.0.6.rl.count2.daytime.sum_28",0.0793160702262526,0.151364259867606,-0.168093983942705,0.446899080563641,1.00010418873232,22774.0622505355,24591.3435200674,0.0793160702262526,66,58,8,"60-69","R","Daytime","Positive","fa1.66_58.R.0"
"fa1.19_13.TRH.19T22nRH.L40.nighttime.sum_14",0.0691733817344601,0.16249320679628,-0.204744726161746,0.472539090329663,1.000088975691,27918.2197691451,24109.4734391937,0.0691733817344601,19,13,6,"10-19","TRH","Nighttime","Positive","fa1.19_13.TRH.19T22nRH"
"fa1.15_7.TRH.13T16nRH.G85.daytime.sum_21",0.0565819065554252,0.163171513720562,-0.234081152829985,0.454553349260351,1.00016598766816,31807.7019183878,26401.3515784656,0.0565819065554252,15,7,8,"10-19","TRH","Daytime","Positive","fa1.15_7.TRH.13T16nRH"
"fa1.44_38.RH.30.rl.count4.dawn.sum_14",0.0562474971211123,0.152337787669886,-0.206240232926528,0.43175974434621,1.00060305327639,28950.0338549959,25411.3666742261,0.0562474971211123,44,38,6,"40-49","RH","Dawn","Positive","fa1.44_38.RH.30"
"fa1.26_20.RH8.peak4.dawn.sum_7",-0.0517078458516614,0.170620691269757,-0.471297532339106,0.253592051139664,1.00010277520284,33235.3847010177,27403.2158079953,0.0517078458516614,26,20,6,"20-29","R","Dawn","Negative","fa1.26_20.RH8.peak4"
"fa1.20_12.ETo.G0.4.dusk.sum_14",-0.0493617753205846,0.174477964621795,-0.48673820787867,0.258598385625357,1.00027583773584,29876.6481930312,25676.5085225709,0.0493617753205846,20,12,8,"20-29","ETo","Dusk","Negative","fa1.20_12.ETo.G0"
"fa1.61_54.RH8.peak4.dusk.sum_28",0.0486393891837309,0.127752788221084,-0.17468884597695,0.362165034837603,0.999945787824447,28474.3484277214,26929.0455071232,0.0486393891837309,61,54,7,"60-69","R","Dusk","Positive","fa1.61_54.RH8.peak4"
"fa1.15_9.TR.19T22nR.G.0.2.dawn.sum_21",-0.0483025215708327,0.128943338171114,-0.354073452769016,0.183522010169308,1.00007026490113,27973.2548440268,26764.0456191085,0.0483025215708327,15,9,6,"10-19","TR","Dawn","Negative","fa1.15_9.TR.19T22nR"
